,EEG
1153,-786.432
1154,-770.048
1155,-753.664
1156,-819.2
1157,-786.432
1158,-819.2
1159,-786.432
1160,-770.048
1161,-802.816
1162,-786.432
1163,-786.432
1164,-802.816
1165,-753.664
1166,-786.432
1167,-786.432
1168,-786.432
1169,-770.048
1170,-720.896
1171,-770.048
1172,-917.504
1173,-1032.192
1174,-999.424
1175,-802.816
1176,-704.512
1177,-688.128
1178,-737.28
1179,-737.28
1180,-704.512
1181,-753.664
1182,-786.432
1183,-753.664
1184,-786.432
1185,-737.28
1186,-753.664
1187,-770.048
1188,-720.896
1189,-770.048
1190,-753.664
1191,-753.664
1192,-802.816
1193,-753.664
1194,-753.664
1195,-753.664
1196,-770.048
1197,-802.816
1198,-753.664
1199,-720.896
1200,-737.28
1201,-720.896
1202,-753.664
1203,-737.28
1204,-753.664
1205,-770.048
1206,-737.28
1207,-720.896
1208,-753.664
1209,-753.664
1210,-819.2
1211,-770.048
1212,-770.048
1213,-753.664
1214,-753.664
1215,-786.432
1216,-753.664
1217,-770.048
1218,-770.048
1219,-753.664
1220,-786.432
1221,-737.28
1222,-737.28
1223,-753.664
1224,-753.664
1225,-819.2
1226,-786.432
1227,-770.048
1228,-786.432
1229,-770.048
1230,-770.048
1231,-786.432
1232,-770.048
1233,-819.2
1234,-753.664
1235,-753.664
1236,-737.28
1237,-753.664
1238,-802.816
1239,-753.664
1240,-737.28
1241,-737.28
1242,-770.048
1243,-835.584
1244,-753.664
1245,-753.664
1246,-737.28
1247,-737.28
1248,-770.048
1249,-753.664
1250,-737.28
1251,-786.432
1252,-753.664
1253,-786.432
1254,-737.28
1255,-753.664
1256,-786.432
1257,-720.896
1258,-753.664
1259,-753.664
1260,-753.664
1261,-802.816
1262,-737.28
1263,-753.664
1264,-770.048
1265,-737.28
1266,-770.048
1267,-753.664
1268,-770.048
1269,-802.816
1270,-753.664
1271,-770.048
1272,-720.896
1273,-737.28
1274,-753.664
1275,-737.28
1276,-737.28
